90,tiramisu-au-chocolat-blanc-fraises-et-speculoos
abymes,fondue-savoyarde
alcool-de-framboises,tarte-fine-aux-bananes-et-framboises
aloxe-corton,roti-de-boeuf
alsace,fromage-type-munster
alsace-riesling-grand-cru,saint-jacques-au-safran
amarone,osso-bucco
anjou,poulet-roti
anjou-blanc,tataki-de-boeuf
anjou-blanc-jo-pithon-et-joseph-paille,tataki-de-boeuf
anjou-sauvignon,huitres-nature-st-vaast
apremont,fondue-savoyarde
armagnac,croustade-aux-pommes
asti,tarte-aux-poires
asti-spumante,tarte-aux-abricots-et-amandes
auxey-duresses,langoustines
badoit,samousas-au-poulet-et-champignons
balmes-dauphinoises,gratin-dauphinois
bandol-rose,dorade-rose
banyuls,fromages-forts-a-pates-persillees
banyuls-ambre,gateau-moelleux-au-chocolat,tarte-a-la-praline
banyuls-rimage,tarte-a-la-praline
banyuls-rouge,fondue-au-chocolat
barbaresco,osso-bucco
barbera,pizza
bardolino,pizza
barolo,osso-bucco
beaujolais,potee-au-chou,roti-de-veau
beaujolais-village,plateau-de-fromages,poulet-roti
beaumes-de-venise,pissaladiere
beaune,plateau-de-fromages
bergerac,cassoulet,cuisses-de-poulet-au-coca-cola
biere,ravitoto,choucroute-alsacienne,carbonnades-flamandes
biere-blonde,ravitoto
blancs,pissaladiere
blanquette-de-limoux,escargot-de-mer-romanesco
bonnezeaux,puddings-au-potiron
bordeaux,plateau-de-fromages,cassoulet
bordeaux-graves-blanc,poulet-aux-ecrevisses
bordeaux-rose,dorade-rose
bordeaux-rouge,paupiette-de-seitan-farcies-au-chataignes-noix-et-cepes
boulaouane,couscous
bourgogne,plateau-de-fromages,poulet-roti
bourgogne-2011,roti-de-cerf
bourgogne-alligote,saint-pierre-a-la-sauce-hollandaise
bourgogne-blanc,langoustines
bourgogne-rouge,coq-au-vin
breizh-cola,cuisses-de-poulet-au-coca-cola
brouilly,potee-au-chou,poulet-au-citron,caille-aux-raisins,paupiette-de-seitan-farcies-au-chataignes-noix-et-cepes
brunello,osso-bucco
cabernet-sauvignon,gratin-de-poireaux-au-jambon
cahors,paupiette-de-seitan-farcies-au-chataignes-noix-et-cepes,cuisses-de-poulet-au-coca-cola,cassoulet,chili-con-carne
cairanne,chapon-roti-aux-pommes
canon-fronsac,cassoulet
carthage,couscous
chablis,homard-grille-au-beurre-blanc,ris-de-veau-a-la-marechale,sole-meuniere,huitres,gratin-de-potimarron-au-crabe
chablis-grand-cru,langouste
chambertin,coq-au-vin,civet-de-lapin
chambolle-musigny,emince-de-veau-a-la-creme,caille-aux-raisins,gateau-moelleux-au-chocolat
champagne,saint-jacques-poelees-au-beurre-d-agrumes,huitres,langouste,tarte-fine-aux-bananes-et-framboises,tarte-aux-poires,tarte-normande
champagne-blanc-de-blancs,langouste
champagne-blanc-de-noirs,tempura
champagne-brut,huitres
champagne-jean-velut-brut-tradition,saint-jacques-poelees-au-beurre-d-agrumes
champagne-non-dose,tempura
champagne-rose,poire-au-chocolat-et-amandes,tarte-aux-abricots-et-amandes
champagne-sec,macaron-epice-foie-gras-et-confit-de-figues
champagne-tarlant-tradition,tempura
champagne-tarlant-zero-brut-nature,tempura
champagne-tristan-h-le-colostrum,huitres
champagne-zero-dosage,huitres
chardonnay,langouste
chassagne-montrachet,langouste
chateauneuf-du-pape,roti-de-boeuf,caille-aux-raisins,magret-de-canard-poele-a-l-ananas,osso-bucco,chocolat,gigot-d-agneau
chateauneuf-du-pape-blanc,emince-de-veau-a-la-creme,saint-jacques-et-foie-gras-poeles
chateldon,samousas-au-poulet-et-champignons
chenin-blanc,tataki-de-boeuf
cheverny,turbot-grille-aux-asperges-sauce-hollandaise,soles-meunieres,sole-meuniere
cheverny-blanc,poulet-au-citron
chianti,pizza,osso-buco-a-la-milanaise
chianti-classico-2008,pintade-a-l-aillet
chiaretto,pizza
chignin,fondue-savoyarde
chignin-bergeron,raclette
chinon,poulet-roti,civet-de-lapin
chinon-rose,tarte-ratatouille-aux-lardons
chiroubles,poulet-au-citron,cote-de-porc-poelee-et-granite-d-ananas,poulet-roti
cidre,crevettes-roses-sautees
cidre-brut,lapin-au-cidre
cidre-de-normandie,tarte-normande
cidre-rose,chapon-roti-aux-pommes
cidre-royal-guillevic,crevettes-roses-sautees
cidre-royal-guillevic-nicol,crevettes-roses-sautees
clairette-de-die,cheesecake-au-chocolat
coco-cola,cuisses-de-poulet-au-coca-cola
collioure,rable-de-lapin-aux-girolles-et-petits-pois,oeuf-sur-le-plat,canette-fermiere-aux-peches-du-roussillon
collioure-rouge,lapin-chasseur,paella
condrieu,turbot-grille-aux-asperges-sauce-hollandaise,homard-sur-sable-de-mini-pates
coroa-d-ouro-2013-blanc,brochette-de-petoncles-a-la-pancetta,hummus-a-la-coriandre
corton-charlemagne,langouste
cote-de-beaune,coq-au-vin
cote-de-nuits,coq-au-vin
cote-du-rhone,roti-de-veau
cote-du-rhone-village,cote-de-porc-poelee-et-granite-d-ananas
cote-rotie,cerre-d-agneau-aux-fleurs-de-brocolis
coteaux-d-aix,tarte-ratatouille-aux-lardons
coteaux-du-gresivaudan,gratin-dauphinois
coteaux-du-languedoc,oeuf-sur-le-plat
coteaux-du-layon,puddings-au-potiron
coteaux-varois,pizza,pissaladiere
cotes-de-beaune,caille-aux-raisins,civet-de-lapin
cotes-de-beaune-blanc,gratin-de-puree-au-colin-et-saumon
cotes-de-bourg,roti-de-veau
cotes-de-castillon,roti-de-veau
cotes-de-nuit,magret-de-canard-poele-a-l-ananas
cotes-de-provence,pissaladiere
cotes-du-jura-chardonnay,saint-jacques-au-safran
cotes-du-marmandais,faux-filet-grille
cotes-du-marmandais-elian-da-ros-ce-vin-est-une-fete,faux-filet-grille
cotes-du-rhone,oeuf-sur-le-plat,pizza,lapin-chasseur
cotes-du-rhone-villages,steak-tartare
cotes-du-roussillon,lapin-chasseur,civet-de-lapin
cotes-du-roussillon-village,escalope-de-foie-gras-aux-abricots,oeuf-sur-le-plat,tournedos-de-veau-aux-asperges-des-bois-et-mini-champignons
cotes-du-roussillon-villages,canette-fermiere-aux-peches-du-roussillon
cotes-du-roussillon-villages-blanc,roules-de-saumon-fume-au-celeri
cremant-d-alsace,escargot-de-mer-romanesco
cremant-de-bourgogne,escargot-de-mer-romanesco
crozes-hermitage,cailles-au-raisins-et-girolles
dom-perignon,huitres
edelzwicker,huitres-claires
entre-deux-mers,avocat-au-crabe,huitres-claires,huitres-au-naturel,bouquets-crevettes-roses
ermitage-blanc,poulet-aux-ecrevisses
fendant,fondue-savoyarde,raclette
fitou,rable-de-lapin-aux-girolles-et-petits-pois
floc-de-gascogne-blanc,foie-gras-aux-raisins,toast-de-foie-gras-sur-lit-de-confit-d-oignon-ou-confit-de-figues
floc-de-gascogne-rouge,croustade-aux-pommes
fronsac,cassoulet
fronton,cassoulet,cuisses-de-poulet-au-coca-cola,foie-gras-aux-raisins
fuentespina,asperges-vertes-jambon-fume-et-fromage
gamay,raclette
gator-tail-ale,croquettes-d-alligator
gevrey-chambertin,coq-au-vin
gewurstraminer,fromage-type-munster
gewurztraminer,baeckeoffe,homard-grille-au-beurre-blanc,tarte-aux-poires,choucroute-alsacienne
gewurztraminer-vendanges-tardives,homard-grille-sauce-homardine,foie-gras-aux-raisins
gigondas,magret-de-canard-poele-a-l-ananas,gigot-d-agneau
givry,lapin-aux-asperges-blanches
grenache-et-syrah,paupiette-de-seitan-farcies-au-chataignes-noix-et-cepes
gros-plant,huitres-claires,maquereaux-au-vin-blanc
gruner-silvaner-spatlese-halbtrocken,salade-printaniere-au-quinoa-rouge
guerrouane,couscous
haut-medoc,osso-buco-a-la-milanaise
isere,gratin-dauphinois
julienas,civet-de-lapin,cake-au-lard,plateau-de-fromages
jus-de-pomme,tarte-normande
la-cuvee-blanc-de-blancs-brut-nature-quot-de-la-maison-veuve-fourny,tarte-aux-abricots-et-aux-amandes
la-valiere-blanc-du-mas-nicot,hamburgers-au-poulet-aux-tomates-et-au-crottin-de-chavignol
lalande-de-pomerol,canette-aux-clementines,paupiette-de-seitan-farcies-au-chataignes-noix-et-cepes
lambrusco,pizza
le-rose-2014-a-8,tiramisu-au-chocolat-blanc-fraises-et-speculoos
le-terres-de-truffes-2011,terrine-de-legumes-au-chevre-frais-et-a-la-truffe-du-ventoux
liebfraumilch,saint-jacques-et-foie-gras-poeles
listel,pissaladiere
listel-blanc,avocat-au-crabe
listrac-medoc,canette-aux-clementines,pigeon-roti-sur-puree-de-carottes-et-petits-pois
loupiac,puree-de-patate-douce-a-la-truffe,foie-gras-aux-raisins,tarte-aux-poires,poire-au-chocolat-et-amandes
macon,plateau-de-fromages,coq-au-vin
madiran,couscous,pizza,cassoulet,cuisses-de-poulet-au-coca-cola
margaux,escalope-de-foie-gras-sur-mousseline-de-butternut
mascara,couscous
maury,gateau-au-chocolat,fromages-forts-a-pates-persillees
maury-rouge,canette-fermiere-aux-peches-du-roussillon,civet-de-lapin
meknes,couscous
menetou-salon,choucroute-alsacienne,sole-meuniere,bouquets-crevettes-roses,soles-meunieres
mercurey,roti-de-boeuf
