denom;Région
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Graves,Graves supérieures,Pessac-Léognan;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Listrac-Médoc,Médoc;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Margaux,Médoc;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Moulis ou Moulis-en-Médoc,Médoc;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc,Pauillac;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc,Saint-Estèphe;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc,Saint-Julien;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Lalande-de-Pomerol;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Lussac-Saint-Emilion;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Montagne-Saint-Emilion;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Montagne-Saint-Emilion,Saint-Georges-Saint-Emilion;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Médoc;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Pomerol;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Puisseguin-Saint-Emilion;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Saint-Emilion,Saint-Emilion grand cru;Bordeaux
Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Sauternes;Bordeaux
Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Mancey;Bourgogne
Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Saint-Gengoux-le-National;Bourgogne
Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Serrières;Bourgogne
Bourgogne,Bourgogne Chitry,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Côte Chalonnaise,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Côte Chalonnaise,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mercurey;Bourgogne
Bourgogne,Bourgogne Côte Chalonnaise,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Rully;Bourgogne
Bourgogne,Bourgogne Côte Chalonnaise,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Côte d'Or,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Clos de Vougeot ou Clos Vougeot,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Vougeot,Vougeot premier cru;Bourgogne
Bourgogne,Bourgogne Côte d'Or,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Côtes d'Auxerre,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Saint-Bris;Bourgogne
Bourgogne,Bourgogne Côtes du Couchois,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Epineuil,Bourgogne Passe-tout-grains,Bourgogne Tonnerre,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Hautes Côtes de Beaune,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Hautes Côtes de Nuits,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Azé,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Bray,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Chardonnay,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Igé,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon La Roche-Vineuse,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Lugny,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Mancey,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Milly-Lamartine,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Péronne,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Saint-Gengoux-le-National,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Verzé,Mâcon Villages;Bourgogne
Bourgogne,Bourgogne Passe-tout-grains,Bourgogne aligoté,Bourgogne mousseux,Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,Crémant de Bourgogne,Mâcon,Mâcon Villages;Bourgogne
Bourgueil,Crémant de Loire,Rosé de Loire,Saint-Nicolas-de-Bourgueil,Touraine;Loire
Bourgueil,Crémant de Loire,Rosé de Loire,Touraine;Loire
Brulhois;Sud-Ouest
Bugey,Bugey Cerdon,Roussette du Bugey;Savoie
Buzet;Sud-Ouest
Béarn,Jurançon;Sud-Ouest
Béarn,Madiran,Pacherenc du Vic-Bilh;Sud-Ouest
Cabardès;Languedoc
Cahors;Sud-Ouest
Cairanne,Côtes du Rhône,Côtes du Rhône Villages;Rhône
Chablis,Chablis premier cru,Chablis premier cru Vaucoupin,Crémant de Bourgogne,Petit Chablis;Bourgogne
Chablis,Chablis premier cru,Crémant de Bourgogne,Petit Chablis;Bourgogne
Chablis,Crémant de Bourgogne,Petit Chablis;Bourgogne
Cheverny;Loire
Cheverny,Cour-Cheverny,Crémant de Loire;Loire
Cheverny,Crémant de Loire;Loire
Chinon,Crémant de Loire,Rosé de Loire,Touraine;Loire
Châteauneuf-du-Pape,Côtes du Rhône;Rhône
Châtillon-en-Diois,Clairette de Die,Coteaux de Die,Crémant de Die;Rhône
Clairette de Bellegarde;Languedoc
Clairette de Bellegarde,Costières de Nîmes;Languedoc
Clairette de Die,Coteaux de Die,Crémant de Die;Rhône
Clairette du Languedoc,Clairette du Languedoc Aspiran,Languedoc;Languedoc
Clairette du Languedoc,Clairette du Languedoc Cabrières;Languedoc
Clairette du Languedoc,Clairette du Languedoc Cabrières,Languedoc,Languedoc Cabrières;Languedoc
Clairette du Languedoc,Clairette du Languedoc Le Bosc;Languedoc
Clairette du Languedoc,Clairette du Languedoc Lieuran-Cabrières;Languedoc
Clairette du Languedoc,Clairette du Languedoc Lieuran-Cabrières,Languedoc;Languedoc
Clairette du Languedoc,Clairette du Languedoc Péret;Languedoc
Corbières,Corbières-Boutenac,Languedoc;Languedoc
Corbières,Fitou,Grand Roussillon,Languedoc,Muscat de Rivesaltes,Rivesaltes;Languedoc
Corbières,Fitou,Languedoc;Languedoc
Corbières,Grand Roussillon,Languedoc,Muscat de Rivesaltes,Rivesaltes;Languedoc
Corbières,Languedoc;Languedoc
Cornas,Côtes du Rhône;Rhône
Costières de Nîmes;Languedoc
Coteaux d'Aix-en-Provence;Provence
Coteaux d'Aix-en-Provence,Les Baux de Provence;Provence
Coteaux du Lyonnais;Rhône
Coteaux du Quercy;Sud-Ouest
Coteaux varois en Provence;Provence
Crozes-Hermitage ou Crozes-Ermitage,Côtes du Rhône;Rhône
Crémant de Bourgogne,Petit Chablis;Bourgogne
Crémant de Limoux,Limoux;Languedoc
Crémant de Loire,Montlouis-sur-Loire,Rosé de Loire,Touraine;Loire
Crémant de Loire,Rosé de Loire,Touraine;Loire
Crémant de Loire,Rosé de Loire,Touraine,Touraine Azay-le-Rideau;Loire
Crémant de Loire,Rosé de Loire,Touraine,Touraine Chenonceaux;Loire
Crémant de Loire,Rosé de Loire,Touraine,Vouvray;Loire
Crémant du Jura,Côtes du Jura,Macvin du Jura;Jura
Côtes de Duras;Sud-Ouest
Côtes de Provence;Provence
Côtes de Provence,Côtes de Provence Sainte-Victoire;Provence
Côtes du Forez;Loire
Côtes du Marmandais;Sud-Ouest
Côtes du Rhône;Rhône
Côtes du Rhône Villages,Côtes du Rhône Villages Sainte-Cécile;Rhône
Côtes du Rhône,Côtes du Rhône Villages;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Chusclan;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Gadagne;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Laudun;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Massif d'Uchaux;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Plan de Dieu;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Roaix;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Rochegude;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Rousset-les-Vignes;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Sablet;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Saint-Andéol;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Saint-Gervais;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Saint-Maurice;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Saint-Pantaléon-les-Vignes;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Signargues;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Suze-la-Rousse;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Séguret;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Valréas;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Muscat de Beaumes-de-Venise;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Rasteau Vin Doux Naturel;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Rasteau,Rasteau Vin Doux Naturel;Rhône
Côtes du Rhône,Côtes du Rhône Villages,Vinsobres;Rhône
Côtes du Rhône,Gigondas;Rhône
Côtes du Rhône,Lirac;Rhône
Côtes du Rhône,Saint-Joseph;Rhône
Côtes du Rhône,Saint-Péray;Rhône
Côtes du Rhône,Tavel;Rhône
Côtes du Roussillon,Côtes du Roussillon Villages Les Aspres,Grand Roussillon,Languedoc,Muscat de Rivesaltes,Rivesaltes;Languedoc
Côtes du Roussillon,Côtes du Roussillon Villages,Côtes du Roussillon Villages Caramany,Languedoc;Languedoc
Côtes du Roussillon,Côtes du Roussillon Villages,Côtes du Roussillon Villages Lesquerde,Grand Roussillon,Languedoc,Muscat de Rivesaltes,Rivesaltes;Languedoc
Côtes du Roussillon,Côtes du Roussillon Villages,Côtes du Roussillon Villages Tautavel,Grand Roussillon,Languedoc,Muscat de Rivesaltes,Rivesaltes;Languedoc
Côtes du Roussillon,Côtes du Roussillon Villages,Côtes du Roussillon Villages Tautavel,Languedoc;Languedoc
Côtes du Roussillon,Côtes du Roussillon Villages,Grand Roussillon,Languedoc,Maury,Muscat de Rivesaltes,Rivesaltes;Languedoc
Côtes du Roussillon,Côtes du Roussillon Villages,Grand Roussillon,Languedoc,Muscat de Rivesaltes,Rivesaltes;Languedoc
Côtes du Roussillon,Côtes du Roussillon Villages,Languedoc;Languedoc
Côtes du Roussillon,Grand Roussillon,Languedoc,Muscat de Rivesaltes,Rivesaltes;Languedoc
Côtes du Roussillon,Languedoc;Languedoc
Côtes du Vivarais;Rhône
Entraygues - Le Fel;Sud-Ouest
Estaing;Sud-Ouest
Faugères,Languedoc;Languedoc
Fronton;Sud-Ouest
Gaillac;Sud-Ouest
Gaillac,Gaillac premières côtes;Sud-Ouest
Grand Roussillon,Muscat de Rivesaltes,Rivesaltes;Languedoc
Grignan-les-Adhémar;Rhône
Gros Plant du Pays Nantais,Muscadet,Muscadet Sèvre et Maine;Loire
Haut-Poitou;Loire
Irouléguy;Sud-Ouest
La Clape,Languedoc;Languedoc
Languedoc;Languedoc
Languedoc,Languedoc Grès de Montpellier;Languedoc
Languedoc,Languedoc La Méjanelle;Languedoc
Languedoc,Languedoc Montpeyroux,Terrasses du Larzac;Languedoc
Languedoc,Languedoc Quatourze;Languedoc
Languedoc,Languedoc Saint-Georges-d'Orques;Languedoc
Languedoc,Languedoc Saint-Saturnin;Languedoc
Languedoc,Minervois;Languedoc
Languedoc,Minervois,Minervois-La Livinière;Languedoc
Languedoc,Pic Saint-Loup;Languedoc
Languedoc,Picpoul de Pinet;Languedoc
Languedoc,Saint-Chinian;Languedoc
Languedoc,Saint-Chinian,Saint-Chinian Berlou;Languedoc
Languedoc,Saint-Chinian,Saint-Chinian Roquebrun;Languedoc
Languedoc,Terrasses du Larzac;Languedoc
Luberon;Rhône
Malepère;Languedoc
Marcillac;Sud-Ouest
Menetou-Salon;Loire
Muscat de Frontignan ou Frontignan ou Vin de Frontignan;Languedoc
Muscat de Mireval;Languedoc
Muscat du Cap Corse,Patrimonio;Provence
Muscat du Cap Corse,Vin de Corse Coteaux du Cap Corse ou Corse Coteaux du Cap Corse,Vin de Corse ou Corse;Provence
Orléans;Loire
Orléans,Orléans-Cléry;Loire
Palette;Provence
Patrimonio;Provence
Pierrevert;Provence
Pouilly-Fumé ou Blanc Fumé de Pouilly,Pouilly-sur-Loire;Loire
Quincy;Loire
Reuilly;Loire
Roussette de Savoie,Roussette de Savoie Frangy,Vin de Savoie Ripaille,Vin de Savoie ou Savoie;Savoie
Roussette de Savoie,Vin de Savoie Apremont,Vin de Savoie ou Savoie;Savoie
Roussette de Savoie,Vin de Savoie Chignin-Bergeron,Vin de Savoie Montmélian,Vin de Savoie ou Savoie;Savoie
Roussette de Savoie,Vin de Savoie ou Savoie;Savoie
Saint-Mont;Sud-Ouest
Saint-Pourçain;Loire
Saint-Sardos;Sud-Ouest
Sancerre;Loire
Seyssel;Savoie
Seyssel,Vin de Savoie ou Savoie;Savoie
Tavel;Rhône
Tursan;Sud-Ouest
Valençay;Loire
Ventoux;Rhône
Vin de Corse Calvi ou Corse Calvi,Vin de Corse ou Corse;Corse
Vin de Corse Porto-Vecchio ou Corse Porto-Vecchio,Vin de Corse ou Corse;Corse
Vin de Corse Sartène ou Corse Sartène,Vin de Corse ou Corse;Corse
Vin de Corse ou Corse;Corse
Vin de Corse ou Corse,Vin de Corse ou Corse Figari;Corse
